Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,135.318.480,451.777,444.561
,59.021.100,412.953,405.503
,27.878.910,385.282,377.881
,12.647.190,360.988,353.591
Gaslamp,117.194.190,458.103,450.452
,56.471.940,421.812,413.079
,29.274.390,393.254,383.610
,14.847.900,365.912,355.522
Harbor,113.056.110,460.909,455.591
,57.193.800,424.583,418.414
,30.140.310,394.606,387.485
,15.087.690,366.009,357.495
KiteFlite,247.417.890,445.475,438.848
,138.116.730,400.786,392.920
,79.003.380,365.200,356.983
,41.101.680,331.429,323.601
SkateboardInLot,102.250.200,466.305,460.149
,51.869.040,430.261,422.286
,25.733.910,399.518,390.294
,11.758.830,371.990,361.679
SkateboardTrick,179.108.460,480.552,467.359
,100.780.140,449.911,436.065
,54.966.840,420.313,405.966
,29.128.020,391.508,376.786
Train,245.829.420,477.950,465.738
,146.437.140,444.011,431.230
,80.639.040,410.381,397.229
,39.763.680,377.970,364.626
Trolley,286.766.610,442.961,435.265
,161.417.730,395.404,386.822
,89.389.290,357.802,349.360
,43.605.210,323.766,315.809
