Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,134.903.850,451.783,444.545
,58.792.290,412.998,405.526
,27.738.900,385.327,377.890
,12.566.130,361.073,353.623
Gaslamp,116.495.910,458.145,450.470
,56.005.050,421.893,413.113
,28.999.350,393.391,383.670
,14.708.310,366.116,355.635
Harbor,112.084.230,460.995,455.643
,56.595.120,424.700,418.459
,29.810.670,394.812,387.610
,14.905.230,366.288,357.655
KiteFlite,246.548.730,445.544,438.879
,137.481.420,400.841,392.943
,78.620.070,365.288,357.032
,40.872.840,331.537,323.665
SkateboardInLot,102.129.390,466.341,460.180
,51.751.350,430.289,422.319
,25.670.190,399.567,390.332
,11.698.110,371.992,361.665
SkateboardTrick,178.807.680,480.629,467.399
,100.544.760,449.907,436.044
,54.926.280,420.368,406.008
,29.081.580,391.590,376.861
Train,245.572.920,477.990,465.739
,146.387.100,444.046,431.259
,80.570.340,410.376,397.213
,39.782.280,378.030,364.680
Trolley,286.499.700,442.997,435.288
,161.157.120,395.415,386.826
,89.267.130,357.847,349.401
,43.526.640,323.801,315.831
