Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,135.657.000,451.416,444.336
,58.907.280,412.593,405.272
,27.689.460,384.957,377.685
,12.523.740,360.815,353.455
Gaslamp,117.115.650,457.772,450.286
,56.148.630,421.536,412.964
,29.055.540,393.012,383.508
,14.717.250,365.788,355.493
Harbor,112.502.850,460.560,455.434
,56.675.580,424.201,418.232
,29.872.860,394.380,387.451
,14.954.790,365.892,357.467
KiteFlite,249.451.380,445.082,438.647
,139.004.040,400.291,392.679
,79.350.600,364.592,356.661
,41.163.510,330.842,323.322
SkateboardInLot,102.183.240,465.847,459.912
,51.649.500,429.865,422.095
,25.588.260,399.302,390.207
,11.688.450,371.907,361.622
SkateboardTrick,178.853.460,480.562,467.345
,100.631.940,449.861,436.016
,54.927.780,420.301,405.957
,29.101.200,391.518,376.811
Train,245.914.680,477.841,465.632
,146.488.920,443.869,431.123
,80.615.880,410.201,397.095
,39.753.240,377.827,364.525
Trolley,288.169.650,442.696,435.091
,162.034.440,395.100,386.635
,89.721.330,357.504,349.190
,43.720.410,323.496,315.656
