Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,134.952.900,451.813,444.573
,58.776.030,412.984,405.507
,27.724.290,385.315,377.889
,12.576.870,361.077,353.639
Gaslamp,116.454.780,458.192,450.512
,56.012.940,421.955,413.190
,28.991.610,393.426,383.707
,14.703.750,366.116,355.637
Harbor,111.979.140,461.022,455.663
,56.583.510,424.750,418.516
,29.792.790,394.827,387.633
,14.891.790,366.282,357.663
KiteFlite,246.417.630,445.545,438.875
,137.503.890,400.882,392.991
,78.610.890,365.297,357.035
,40.863.330,331.516,323.637
SkateboardInLot,102.089.700,466.334,460.165
,51.763.980,430.304,422.331
,25.662.150,399.532,390.297
,11.698.740,371.983,361.648
SkateboardTrick,178.680.060,480.592,467.361
,100.521.300,449.875,436.019
,54.861.300,420.310,405.956
,29.059.560,391.546,376.817
Train,245.653.440,477.998,465.751
,146.358.360,444.017,431.237
,80.624.280,410.389,397.231
,39.764.220,377.982,364.636
Trolley,286.393.500,443.007,435.299
,161.158.560,395.433,386.843
,89.256.660,357.844,349.392
,43.515.420,323.789,315.826
