Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,134.968.620,451.804,444.583
,58.831.080,413.006,405.539
,27.742.530,385.322,377.910
,12.583.470,361.063,353.661
Gaslamp,116.386.200,458.193,450.512
,55.958.520,421.947,413.183
,28.982.520,393.395,383.710
,14.715.540,366.030,355.624
Harbor,111.966.210,461.015,455.677
,56.608.410,424.771,418.533
,29.820.900,394.809,387.641
,14.924.580,366.312,357.724
KiteFlite,246.913.260,445.582,438.918
,137.768.010,400.889,393.012
,78.666.000,365.266,357.038
,40.903.320,331.478,323.659
SkateboardInLot,102.169.980,466.297,460.176
,51.781.890,430.266,422.308
,25.700.280,399.547,390.334
,11.731.590,372.013,361.704
SkateboardTrick,178.680.960,480.608,467.394
,100.541.040,449.900,436.054
,54.851.220,420.358,406.003
,29.067.900,391.601,376.873
Train,245.683.440,478.005,465.762
,146.343.180,444.036,431.253
,80.583.000,410.415,397.253
,39.765.300,378.004,364.657
Trolley,286.492.710,443.018,435.307
,161.183.490,395.429,386.833
,89.287.800,357.851,349.402
,43.539.780,323.807,315.869
