Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,134.866.200,451.816,444.583
,58.710.360,412.997,405.520
,27.698.760,385.368,377.935
,12.543.450,361.117,353.662
Gaslamp,116.290.920,458.206,450.523
,55.896.270,421.940,413.165
,28.927.560,393.441,383.725
,14.684.700,366.168,355.679
Harbor,111.861.000,461.030,455.672
,56.460.210,424.743,418.512
,29.747.400,394.861,387.679
,14.870.370,366.307,357.675
KiteFlite,246.401.970,445.572,438.898
,137.479.500,400.910,393.014
,78.571.440,365.313,357.060
,40.863.420,331.588,323.708
SkateboardInLot,102.082.410,466.340,460.179
,51.727.860,430.313,422.352
,25.649.640,399.576,390.344
,11.705.970,372.018,361.692
SkateboardTrick,178.651.740,480.628,467.393
,100.510.260,449.939,436.074
,54.812.520,420.324,405.961
,29.041.800,391.595,376.860
Train,245.592.720,478.006,465.751
,146.421.540,444.070,431.280
,80.644.440,410.424,397.261
,39.729.480,377.974,364.625
Trolley,286.406.490,443.028,435.315
,161.157.390,395.458,386.865
,89.188.740,357.830,349.382
,43.545.870,323.843,315.880
