Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,134.801.190,451.800,444.558
,58.725.930,413.019,405.537
,27.712.620,385.378,377.943
,12.527.040,361.087,353.639
Gaslamp,116.281.050,458.196,450.515
,55.876.680,421.952,413.170
,28.904.040,393.444,383.718
,14.676.600,366.189,355.696
Harbor,111.823.950,461.024,455.664
,56.456.820,424.763,418.523
,29.757.300,394.895,387.697
,14.873.580,366.341,357.693
KiteFlite,246.335.580,445.567,438.892
,137.489.250,400.919,393.016
,78.530.790,365.294,357.035
,40.874.070,331.591,323.716
SkateboardInLot,102.074.040,466.347,460.179
,51.745.800,430.327,422.352
,25.665.930,399.595,390.366
,11.707.170,372.051,361.711
SkateboardTrick,178.622.700,480.630,467.397
,100.447.440,449.910,436.046
,54.827.100,420.355,405.992
,29.081.760,391.610,376.872
Train,245.537.880,478.011,465.751
,146.351.220,444.058,431.264
,80.584.320,410.407,397.244
,39.747.960,378.014,364.659
Trolley,286.375.230,443.027,435.308
,161.117.430,395.442,386.849
,89.229.180,357.856,349.408
,43.506.630,323.816,315.853
