Video,Bitrate,Y-PSNR,Y-WSPSNR
AerialCity,86093.5176,42.5474,42.0578
,45358.6344,40.3366,39.6593
,25996.3656,38.1177,37.2919
,14565.0528,35.5603,34.6266
Balboa,183722.0880,46.2304,45.3039
,107973.5760,42.8978,41.7967
,60167.0976,39.6589,38.4556
,31824.9744,36.5956,35.3436
BranCastle,273499.0056,42.8581,42.4471
,159162.6432,38.7685,38.2932
,83843.2128,35.1924,34.6602
,41868.8088,32.1888,31.5881
Broadway,211212.8928,45.7572,44.9414
,124121.4672,42.3619,41.4351
,70363.9776,39.0942,38.0993
,38231.0640,35.9564,34.9348
ChairliftRide,116254.8336,44.5097,43.8224
,59630.0376,41.3102,40.6146
,28477.7784,38.4541,37.7706
,13183.5480,35.9924,35.3222
Gaslamp,101309.9664,45.1262,44.3642
,55236.0912,41.9754,41.1242
,28863.6600,39.0233,38.0732
,14702.7816,36.2699,35.2446
Harbor,97312.8072,45.4357,44.9135
,54761.0520,42.2287,41.6191
,29063.9976,39.1221,38.4004
,14639.4816,36.2289,35.3742
KiteFlite,214956.0912,43.8556,43.2127
,133369.1400,40.0372,39.2875
,76759.0008,36.3688,35.5761
,40211.7432,32.9934,32.2398
Landing,92194.5120,45.3457,44.5781
,48564.1200,42.4276,41.5720
,24633.9024,39.6531,38.7328
,12353.3160,37.0889,36.1351
PoleVault,147936.2472,44.1838,43.4820
,84930.6744,40.5133,39.7042
,48067.6248,37.0813,36.2247
,26706.0984,33.8693,32.9979
SkateboardInLot,87214.3248,46.0264,45.4328
,48069.3384,42.8071,42.0689
,24057.3648,39.6879,38.8053
,11267.7120,36.9481,35.9360
Trolley,239856.6216,43.6473,42.9031
,148401.7272,39.5560,38.7440
,82586.5992,35.7111,34.9052
,40933.1160,32.3302,31.5630
