Video,Bitrate,Y-PSNR,Y-WSPSNR
AerialCity,86149.6992,42.5384,42.0533
,45506.6472,40.3317,39.6567
,26082.8184,38.1124,37.2896
,14617.7136,35.5535,34.6232
Balboa,184132.3968,46.2256,45.3015
,108267.7824,42.8927,41.7943
,60336.7872,39.6522,38.4525
,31919.4912,36.5883,35.3401
BranCastle,273602.2320,42.8353,42.4387
,159053.8416,38.7359,38.2787
,83645.6832,35.1545,34.6402
,41817.5064,32.1662,31.5738
Broadway,211681.9488,45.7500,44.9373
,124615.3152,42.3557,41.4312
,70766.6208,39.0871,38.0957
,38498.1888,35.9432,34.9275
ChairliftRide,116590.3128,44.5033,43.8188
,59886.0024,41.3027,40.6101
,28668.1296,38.4454,37.7654
,13317.4152,35.9801,35.3149
Gaslamp,101772.0672,45.1248,44.3631
,55529.7288,41.9707,41.1214
,29043.9816,39.0147,38.0676
,14795.9040,36.2595,35.2385
Harbor,97556.1960,45.4345,44.9125
,54957.8928,42.2281,41.6180
,29214.0912,39.1201,38.3986
,14738.1984,36.2231,35.3705
KiteFlite,215533.0056,43.8511,43.2094
,133884.9000,40.0317,39.2837
,77083.8432,36.3552,35.5684
,40302.1608,32.9631,32.2215
Landing,92257.1328,45.3310,44.5699
,48632.9352,42.4114,41.5629
,24710.6400,39.6381,38.7249
,12409.4712,37.0708,36.1252
PoleVault,148081.5048,44.1752,43.4778
,85044.9888,40.5055,39.7005
,48145.5984,37.0722,36.2205
,26759.8752,33.8605,32.9942
SkateboardInLot,87234.9240,46.0177,45.4288
,48063.8832,42.8009,42.0661
,24054.7680,39.6843,38.8037
,11266.2024,36.9471,35.9358
Trolley,239933.8752,43.6461,42.9021
,148477.3704,39.5541,38.7431
,82631.6664,35.7073,34.9029
,40965.4536,32.3249,31.5594
