Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,13531.8480,45.1777,44.4561
,5902.1100,41.2953,40.5503
,2787.8910,38.5282,37.7881
,1264.7190,36.0988,35.3591
Gaslamp,11719.4190,45.8103,45.0452
,5647.1940,42.1812,41.3079
,2927.4390,39.3254,38.3610
,1484.7900,36.5912,35.5522
Harbor,11305.6110,46.0909,45.5591
,5719.3800,42.4583,41.8414
,3014.0310,39.4606,38.7485
,1508.7690,36.6009,35.7495
KiteFlite,24741.7890,44.5475,43.8848
,13811.6730,40.0786,39.2920
,7900.3380,36.5200,35.6983
,4110.1680,33.1429,32.3601
SkateboardInLot,10225.0200,46.6305,46.0149
,5186.9040,43.0261,42.2286
,2573.3910,39.9518,39.0294
,1175.8830,37.1990,36.1679
SkateboardTrick,17910.8460,48.0552,46.7359
,10078.0140,44.9911,43.6065
,5496.6840,42.0313,40.5966
,2912.8020,39.1508,37.6786
Train,24582.9420,47.7950,46.5738
,14643.7140,44.4011,43.1230
,8063.9040,41.0381,39.7229
,3976.3680,37.7970,36.4626
Trolley,28676.6610,44.2961,43.5265
,16141.7730,39.5404,38.6822
,8938.9290,35.7802,34.9360
,4360.5210,32.3766,31.5809
