Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,13490.3850,45.1783,44.4545
,5879.2290,41.2998,40.5526
,2773.8900,38.5327,37.7890
,1256.6130,36.1073,35.3623
Gaslamp,11649.5910,45.8145,45.0470
,5600.5050,42.1893,41.3113
,2899.9350,39.3391,38.3670
,1470.8310,36.6116,35.5635
Harbor,11208.4230,46.0995,45.5643
,5659.5120,42.4700,41.8459
,2981.0670,39.4812,38.7610
,1490.5230,36.6288,35.7655
KiteFlite,24654.8730,44.5544,43.8879
,13748.1420,40.0841,39.2943
,7862.0070,36.5288,35.7032
,4087.2840,33.1537,32.3665
SkateboardInLot,10212.9390,46.6341,46.0180
,5175.1350,43.0289,42.2319
,2567.0190,39.9567,39.0332
,1169.8110,37.1992,36.1665
SkateboardTrick,17880.7680,48.0629,46.7399
,10054.4760,44.9907,43.6044
,5492.6280,42.0368,40.6008
,2908.1580,39.1590,37.6861
Train,24557.2920,47.7990,46.5739
,14638.7100,44.4046,43.1259
,8057.0340,41.0376,39.7213
,3978.2280,37.8030,36.4680
Trolley,28649.9700,44.2997,43.5288
,16115.7120,39.5415,38.6826
,8926.7130,35.7847,34.9401
,4352.6640,32.3801,31.5831
