Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,13565.7000,45.1416,44.4336
,5890.7280,41.2593,40.5272
,2768.9460,38.4957,37.7685
,1252.3740,36.0815,35.3455
Gaslamp,11711.5650,45.7772,45.0286
,5614.8630,42.1536,41.2964
,2905.5540,39.3012,38.3508
,1471.7250,36.5788,35.5493
Harbor,11250.2850,46.0560,45.5434
,5667.5580,42.4201,41.8232
,2987.2860,39.4380,38.7451
,1495.4790,36.5892,35.7467
KiteFlite,24945.1380,44.5082,43.8647
,13900.4040,40.0291,39.2679
,7935.0600,36.4592,35.6661
,4116.3510,33.0842,32.3322
SkateboardInLot,10218.3240,46.5847,45.9912
,5164.9500,42.9865,42.2095
,2558.8260,39.9302,39.0207
,1168.8450,37.1907,36.1622
SkateboardTrick,17885.3460,48.0562,46.7345
,10063.1940,44.9861,43.6016
,5492.7780,42.0301,40.5957
,2910.1200,39.1518,37.6811
Train,24591.4680,47.7841,46.5632
,14648.8920,44.3869,43.1123
,8061.5880,41.0201,39.7095
,3975.3240,37.7827,36.4525
Trolley,28816.9650,44.2696,43.5091
,16203.4440,39.5100,38.6635
,8972.1330,35.7504,34.9190
,4372.0410,32.3496,31.5656
