Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,13495.2900,45.1813,44.4573
,5877.6030,41.2984,40.5507
,2772.4290,38.5315,37.7889
,1257.6870,36.1077,35.3639
Gaslamp,11645.4780,45.8192,45.0512
,5601.2940,42.1955,41.3190
,2899.1610,39.3426,38.3707
,1470.3750,36.6116,35.5637
Harbor,11197.9140,46.1022,45.5663
,5658.3510,42.4750,41.8516
,2979.2790,39.4827,38.7633
,1489.1790,36.6282,35.7663
KiteFlite,24641.7630,44.5545,43.8875
,13750.3890,40.0882,39.2991
,7861.0890,36.5297,35.7035
,4086.3330,33.1516,32.3637
SkateboardInLot,10208.9700,46.6334,46.0165
,5176.3980,43.0304,42.2331
,2566.2150,39.9532,39.0297
,1169.8740,37.1983,36.1648
SkateboardTrick,17868.0060,48.0592,46.7361
,10052.1300,44.9875,43.6019
,5486.1300,42.0310,40.5956
,2905.9560,39.1546,37.6817
Train,24565.3440,47.7998,46.5751
,14635.8360,44.4017,43.1237
,8062.4280,41.0389,39.7231
,3976.4220,37.7982,36.4636
Trolley,28639.3500,44.3007,43.5299
,16115.8560,39.5433,38.6843
,8925.6660,35.7844,34.9392
,4351.5420,32.3789,31.5826
