Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,13496.8620,45.1804,44.4583
,5883.1080,41.3006,40.5539
,2774.2530,38.5322,37.7910
,1258.3470,36.1063,35.3661
Gaslamp,11638.6200,45.8193,45.0512
,5595.8520,42.1947,41.3183
,2898.2520,39.3395,38.3710
,1471.5540,36.6030,35.5624
Harbor,11196.6210,46.1015,45.5677
,5660.8410,42.4771,41.8533
,2982.0900,39.4809,38.7641
,1492.4580,36.6312,35.7724
KiteFlite,24691.3260,44.5582,43.8918
,13776.8010,40.0889,39.3012
,7866.6000,36.5266,35.7038
,4090.3320,33.1478,32.3659
SkateboardInLot,10216.9980,46.6297,46.0176
,5178.1890,43.0266,42.2308
,2570.0280,39.9547,39.0334
,1173.1590,37.2013,36.1704
SkateboardTrick,17868.0960,48.0608,46.7394
,10054.1040,44.9900,43.6054
,5485.1220,42.0358,40.6003
,2906.7900,39.1601,37.6873
Train,24568.3440,47.8005,46.5762
,14634.3180,44.4036,43.1253
,8058.3000,41.0415,39.7253
,3976.5300,37.8004,36.4657
Trolley,28649.2710,44.3018,43.5307
,16118.3490,39.5429,38.6833
,8928.7800,35.7851,34.9402
,4353.9780,32.3807,31.5869
