Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,13486.6200,45.1816,44.4583
,5871.0360,41.2997,40.5520
,2769.8760,38.5368,37.7935
,1254.3450,36.1117,35.3662
Gaslamp,11629.0920,45.8206,45.0523
,5589.6270,42.1940,41.3165
,2892.7560,39.3441,38.3725
,1468.4700,36.6168,35.5679
Harbor,11186.1000,46.1030,45.5672
,5646.0210,42.4743,41.8512
,2974.7400,39.4861,38.7679
,1487.0370,36.6307,35.7675
KiteFlite,24640.1970,44.5572,43.8898
,13747.9500,40.0910,39.3014
,7857.1440,36.5313,35.7060
,4086.3420,33.1588,32.3708
SkateboardInLot,10208.2410,46.6340,46.0179
,5172.7860,43.0313,42.2352
,2564.9640,39.9576,39.0344
,1170.5970,37.2018,36.1692
SkateboardTrick,17865.1740,48.0628,46.7393
,10051.0260,44.9939,43.6074
,5481.2520,42.0324,40.5961
,2904.1800,39.1595,37.6860
Train,24559.2720,47.8006,46.5751
,14642.1540,44.4070,43.1280
,8064.4440,41.0424,39.7261
,3972.9480,37.7974,36.4625
Trolley,28640.6490,44.3028,43.5315
,16115.7390,39.5458,38.6865
,8918.8740,35.7830,34.9382
,4354.5870,32.3843,31.5880
