Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,13731.6240,45.1237,44.4287
,5963.5740,41.2323,40.5177
,2803.1820,38.4632,37.7554
,1269.5730,36.0386,35.3248
Gaslamp,11897.4330,45.7615,45.0226
,5697.9420,42.1106,41.2702
,2946.4770,39.2426,38.3151
,1491.2790,36.5080,35.5095
Harbor,11504.1750,46.0388,45.5331
,5789.4090,42.3839,41.8019
,3040.1520,39.3781,38.7066
,1520.3130,36.5127,35.7007
KiteFlite,25411.0080,44.4924,43.8563
,14202.5730,40.0149,39.2609
,8101.6320,36.4334,35.6554
,4177.5900,33.0323,32.3053
SkateboardInLot,10307.8320,46.5468,45.9760
,5195.9160,42.9549,42.1953
,2570.5110,39.9018,39.0040
,1174.1880,37.1678,36.1451
SkateboardTrick,17960.1180,48.0437,46.7285
,10098.4980,44.9732,43.5934
,5509.7400,42.0171,40.5861
,2918.3280,39.1361,37.6670
Train,24691.2360,47.7764,46.5603
,14708.8020,44.3819,43.1091
,8101.3440,41.0154,39.7065
,3989.7300,37.7677,36.4417
Trolley,29077.8420,44.2631,43.5061
,16346.9730,39.4943,38.6549
,9025.2450,35.7219,34.9059
,4383.1740,32.3177,31.5494
