Video,Bitrate,Y-PSNR,Y-WSPSNR
ChairliftRide,13480.1190,45.1800,44.4558
,5872.5930,41.3019,40.5537
,2771.2620,38.5378,37.7943
,1252.7040,36.1087,35.3639
Gaslamp,11628.1050,45.8196,45.0515
,5587.6680,42.1952,41.3170
,2890.4040,39.3444,38.3718
,1467.6600,36.6189,35.5696
Harbor,11182.3950,46.1024,45.5664
,5645.6820,42.4763,41.8523
,2975.7300,39.4895,38.7697
,1487.3580,36.6341,35.7693
KiteFlite,24633.5580,44.5567,43.8892
,13748.9250,40.0919,39.3016
,7853.0790,36.5294,35.7035
,4087.4070,33.1591,32.3716
SkateboardInLot,10207.4040,46.6347,46.0179
,5174.5800,43.0327,42.2352
,2566.5930,39.9595,39.0366
,1170.7170,37.2051,36.1711
SkateboardTrick,17862.2700,48.0630,46.7397
,10044.7440,44.9910,43.6046
,5482.7100,42.0355,40.5992
,2908.1760,39.1610,37.6872
Train,24553.7880,47.8011,46.5751
,14635.1220,44.4058,43.1264
,8058.4320,41.0407,39.7244
,3974.7960,37.8014,36.4659
Trolley,28637.5230,44.3027,43.5308
,16111.7430,39.5442,38.6849
,8922.9180,35.7856,34.9408
,4350.6630,32.3816,31.5853
